geoid10,los_dist_score,los_acre_score,los_exp_score,los_total_score,la_dist_score,la_acre_score,la_exp_score,la_total_score,gw_score_loop_contiguous,los_gw_total_score,la_gw_total_score,totpop_2018,area,popdensity_sqmi,tothh_2018
"371830518002027","5","4","5","14","5","4","5","14","3","17","17",39,0.00575823653299921,6772.90690934619,"14"
"371830503001030","5","5","5","15","5","5","5","15","3","18","18",19,0.00309123267244431,6146.41536671397,"11"
"371830518001033","4","4","5","13","5","4","5","14","3","16","17",82,0.0120564406715563,6801.34396492783,"40"
"371830524081010","4","4","5","13","4","5","5","14","5","18","19",0,0.00106355116774123,0,"0"
"371830501001048","5","5","5","15","5","5","5","15","5","20","20",3,0.00512730763143953,585.102399864728,"1"
"371830541102004","4","2","1","7","4","2","1","7","4","11","11",71,0.00902656532455854,7865.67176407959,"23"
"371830524093006","5","5","4","14","5","5","5","15","4","18","19",151,0.0124270165800839,12150.9454040641,"70"
"371830521021048","2","2","3","7","2","3","4","9","4","11","13",103,0.00627956869585757,16402.400385865,"39"
"371830528064013","1","1","1","3","1","1","1","3","5","8","8",53,0.00565234326997391,9376.64212319586,"15"
"371830528072030","3","1","1","5","3","2","1","6","2","7","8",112,0.0157362374822772,7117.33031012902,"32"
"371830530081044","2","4","2","8","2","4","2","8","3","11","11",0,0.00602362819982225,0,"0"
"371830523013028","2","5","3","10","3","5","3","11","3","13","14",43,0.00116575455170789,36885.9807898693,"12"
"371830523011015","3","5","2","10","3","5","3","11","3","13","14",122,0.0092698006220498,13161.0166145108,"53"
"371830541043034","2","3","3","8","4","4","3","11","3","11","14",54,0.0075168114917518,7183.89706317023,"14"
"371830527072007","2","3","3","8","2","3","4","9","2","10","11",33,0.0153953468404143,2143.50480973717,"15"
"371830506002031","5","4","5","14","5","5","5","15","4","18","19",34,0.00971585563467898,3499.43445831401,"17"
"371830509002025","4","5","5","14","4","5","5","14","5","19","19",0,0.00204417183938872,0,"0"
"371830542091070","2","1","1","4","2","2","1","5","3","7","8",71,0.00689875838807323,10291.7070008926,"24"
